title,description,street,city,state,postal_code,country,lat,lng,phone,fax,email,website,description_2,marker_id,is_disabled,open_hours,logo_name,categories,order,update_id
"AUTO UNIÓN S.A.",,"Calle 1 #37-140",Villavicencio,Meta,,Colombia,4.116314,-73.626208,"321 437 4255",,,,,151,0,"mon=08:00 AM - 04:00 PM|tue=08:00 AM - 04:00 PM|wed=08:00 AM - 04:00 PM|thu=08:00 AM - 04:00 PM|fri=08:00 AM - 04:00 PM|sat=08:00 AM - 12:00 PM|sun=0",JAC,Talleres,0,72
"CASAUTOS S.A.",,"Av. 30 De Agosto #105-90",Pereira,Risaralda,,Colombia,4.8137671,-75.7663745,"310 897 0167",,,,,151,0,"mon=08:00 AM - 04:30 PM|tue=08:00 AM - 04:30 PM|wed=08:00 AM - 04:30 PM|thu=08:00 AM - 04:30 PM|fri=08:00 AM - 04:30 PM|sat=08:00 AM - 01:00 PM|sun=0",JAC,Talleres,0,73
"CASAUTOS S.A.",,"Carrera 23 #35-15",Manizales,Caldas,,Colombia,5.0676542,-75.5101939,"318 306 6678",,,,,151,0,"mon=08:00 AM - 04:30 PM|tue=08:00 AM - 04:30 PM|wed=08:00 AM - 04:30 PM|thu=08:00 AM - 04:30 PM|fri=08:00 AM - 04:30 PM|sat=08:00 AM - 12:00 PM|sun=0",JAC,Talleres,0,74
"AUTOCOM ITAGÜÍ",,"Carrera 42 #33-63",Itagüí,Antioquia,,Colombia,6.1640351,-75.6142973,"316 758 9415",,,,,151,0,"mon=07:00 AM - 05:00 PM|tue=07:00 AM - 05:00 PM|wed=07:00 AM - 05:00 PM|thu=07:00 AM - 05:00 PM|fri=07:00 AM - 05:00 PM|sat=08:00 AM - 01:00 PM|sun=0",JAC,Talleres,0,75
"FERSAUTOS S.A.S.",,"Diagonal 15 #63-20 Puerta del Sol",Bucaramanga,Santander,,Colombia,7.0614934,-73.8740846,"314 271 8440",,,https://www.fersautos.co/jac,,151,0,"mon=09:00 AM - 06:00 PM|tue=09:00 AM - 06:00 PM|wed=09:00 AM - 06:00 PM|thu=09:00 AM - 06:00 PM|fri=09:00 AM - 06:00 PM|sat=0|sun=0",JAC,Talleres,0,76
"AUTOCOM CALLE 80",,"Av. Boyaca #77a - 41",Bogotá,"Bogotá D.C.",,Colombia,4.694253285577054,-74.09112847511595,"316 870 7312",,,,,151,0,"mon=07:00 AM - 05:00 PM|tue=07:00 AM - 05:00 PM|wed=07:00 AM - 05:00 PM|thu=07:00 AM - 05:00 PM|fri=07:00 AM - 05:00 PM|sat=08:00 AM - 01:00 PM|sun=0",JAC,Talleres,3,77
"FERSAUTOS S.A.S. Sevilla",,"Av. 7 #8N-58 Av. Sevilla",Cúcuta,"Norte de Santander",,Colombia,7.9087969,-72.5054477,"(037) 578 0457 / 310 250 8379 / 321 442 2124",,,https://www.fersautos.co/jac,,151,0,"mon=08:00 AM - 04:00 PM|tue=08:00 AM - 04:00 PM|wed=08:00 AM - 04:00 PM|thu=08:00 AM - 04:00 PM|fri=08:00 AM - 04:00 PM|sat=08:00 AM - 02:00 PM|sun=0",JAC,Talleres|Concesionarios,0,79
"KIA PLAZA S.A.",,"Carrera 19 #21-60",Yopal,Casanare,,Colombia,5.3371473,-72.3980889,"038 633 4869 Ext. 2610",,,,,151,0,"mon=07:00 AM - 03:00 PM|tue=07:00 AM - 03:00 PM|wed=07:00 AM - 03:00 PM|thu=07:00 AM - 03:00 PM|fri=07:00 AM - 03:00 PM|sat=0|sun=0",JAC,Concesionarios|Talleres,0,80
"AUTO UNIÓN S.A.",,"Carrera 20 #37-55",Yopal,Casanare,,Colombia,5.3249921,-72.3903324,"(038) 633 4551 / 311 867 3905",,,,,151,0,"mon=08:00 AM - 04:00 PM|tue=08:00 AM - 04:00 PM|wed=08:00 AM - 04:00 PM|thu=08:00 AM - 04:00 PM|fri=08:00 AM - 04:00 PM|sat=08:00 AM - 12:00 PM|sun=0",JAC,Talleres,0,81
"AUTOCOM VILLAVICENCIO",,"Carrera 22 #3A-82 Av. Puerto López",Villavicencio,Meta,,Colombia,4.1225276,-73.6196845,"(038) 674 0820 / 01-8000-185393",,,,,151,0,"mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=08:00 AM - 01:00 PM|sun=0",JAC,Concesionarios,0,82
DISALCAR,,"Carrera 7A #22-47",Valledupar,Cesar,,Colombia,10.449238,-73.2449932,"300 392 9340 / 317 895 8491",,,,,151,0,"mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=08:00 AM - 01:00 PM|sun=0",JAC,Talleres|Concesionarios,0,83
"CENTRO MOTORS",,"Carrera 40 #26-50",Tuluá,"Valle del Cauca",,Colombia,4.0827228,-76.1886469,"(032) 233 9713",,,http://jac.centromotors.com.co,,151,0,"mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=08:00 AM - 03:00 PM|sun=0",JAC,Concesionarios,0,84
"CENTRO MOTORS",,"Calle 26 #39-60",Tuluá,"Valle del Cauca",,Colombia,4.0832017,-76.1890373,"311 372 1705 / (032) 233 9713",,,http://jac.centromotors.com.co,,151,0,"mon=08:00 AM - 01:00 PM|tue=08:00 AM - 01:00 PM|wed=08:00 AM - 01:00 PM|thu=08:00 AM - 01:00 PM|fri=08:00 AM - 01:00 PM|sat=08:00 AM - 01:00 PM|sun=0",JAC,Talleres,0,85
"MOTORKIA S.A.S.",,"Av. Los Estudiantes #35-22",Pasto,Nariño,,Colombia,1.2259161,-77.2841161,"(032) 720 87 39 / 317 363 7773",,,http://www.motorjacpasto.com/,,151,0,"mon=08:00 AM - 02:00 PM|tue=08:00 AM - 02:00 PM|wed=08:00 AM - 02:00 PM|thu=08:00 AM - 02:00 PM|fri=08:00 AM - 02:00 PM|sat=08:00 AM - 02:00 PM|sun=0",JAC,Concesionarios,0,86
"MOTORKIA S.A.S.",,"Carrera 40A #17A-10",Pasto,Nariño,,Colombia,1.2247905,-77.2888888,"(032) 731 7497 / 316 228 2467",,,,,151,0,"mon=07:00 AM - 02:00 PM|tue=07:00 AM - 02:00 PM|wed=07:00 AM - 02:00 PM|thu=07:00 AM - 02:00 PM|fri=07:00 AM - 02:00 PM|sat=0|sun=0",JAC,Talleres,0,87
"CENTRO MOTORS PALMIRA",,"Calle 42 #32B-05",Palmira,"Valle del Cauca",,Colombia,3.5383334,-76.3042098,"316 875 1746 / (032) 731 7497",,,,,151,0,"mon=08:00 AM - 01:00 PM|tue=08:00 AM - 01:00 PM|wed=08:00 AM - 01:00 PM|thu=08:00 AM - 01:00 PM|fri=08:00 AM - 01:00 PM|sat=08:00 AM - 01:00 PM|sun=0",JAC,Talleres,0,88
"CENTRO MOTORS",,"Calle 31 #34-59",Palmira,"Valle del Cauca",,Colombia,3.5288613,-76.307277,"(032) 233 9713",,,,,151,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,JAC,Concesionarios,0,89
"TODO AUTOMOTORES DEL HUILA S.A.S.",,"Carrera 10 #6-53 Sur",Neiva,Huila,,Colombia,2.9273746,-75.2861228,"(038) 873 8789 / 322 896 8368",,,,,151,0,"mon=08:00 AM - 05:30 PM|tue=08:00 AM - 05:30 PM|wed=08:00 AM - 05:30 PM|thu=08:00 AM - 05:30 PM|fri=08:00 AM - 05:30 PM|sat=0|sun=0",JAC,Talleres,0,90
"AUTOCOM NEIVA",,"Carrera 5 #10-30 Sur",Neiva,Huila,,Colombia,2.9138583591822265,-75.28573486004944,"01-8000-185393 / (038) 863 1615",,,,,151,0,"mon=08:00 AM - 12:00 PM,02:00 PM - 06:00 PM|tue=08:00 AM - 12:00 PM,02:00 PM - 06:00 PM|wed=08:00 AM - 12:00 PM,02:00 PM - 06:00 PM|thu=08:00 AM - 12:00 PM,02:00 PM - 06:00 PM|fri=08:00 AM - 12:00 PM,02:00 PM - 06:00 PM|sat=08:00 AM - 03:00 PM|sun=0",JAC,Concesionarios,0,91
