title;description;street;city;state;zip;country;lat;lng;phone;fax;email;website;is_disabled;logo;categories;marker_id;;description_2;open_hours;;order
KIA PLAZA S.A.;;Carrera 19 #21-60;Yopal;Casanare;;Colombia;5,3371473;-72,3958949;038 633 4869 Ext. 2610;;;;;JAC;Concesionarios;151;;;mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=09:30 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=09:00 AM - 05:00 PM|sun=0;;0
AUTO UNIÓN S.A.;;Carrera 20 #37-55;Yopal;Casanare;;Colombia;5,3249921;-72,3881384;(038) 633 4551;;;;;JAC;Talleres;151;;;mon=07:30 AM - 06:00 PM|tue=07:30 AM - 06:00 PM|wed=07:30 AM - 06:00 PM|thu=07:30 AM - 06:00 PM|fri=07:30 AM - 06:00 PM|sat=07:30 AM - 06:00 PM|sun=08:00 AM - 12:00 PM;;0
AUTOCOM VILLAVICENCIO;;Carrera 22 #3A-82;Villavicencio;Meta;;Colombia;4,1225276;-73,6174905;038  674 0820 / 01-8000-185393;;;;0;JAC;Concesionarios;151;;;mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=08:30 AM - 02:00 PM|sun=0;;1
AUTO UNIÓN S.A.;;Calle 1 #37-140;Villavicencio;Meta;;Colombia;4,116314;-73,624014;(038) 681 8282;;;;;JAC;Talleres;151;;;mon=07:00 AM - 05:30 PM|tue=07:00 AM - 05:30 PM|wed=07:00 AM - 05:30 PM|thu=07:00 AM - 05:30 PM|fri=07:00 AM - 05:30 PM|sat=08:00 AM - 01:00 PM|sun=0;;0
DISALCAR;;Carrera 7A #39-134;Valledupar;Cesar;;Colombia;10,449238;-73,2427992;317 895 8491;;;;;JAC;Concesionarios|Talleres;151;;;mon=07:30 AM - 06:00 PM|tue=07:30 AM - 06:00 PM|wed=07:30 AM - 06:00 PM|thu=07:30 AM - 06:00 PM|fri=07:30 AM - 06:00 PM|sat=08:00 AM - 01:00 PM|sun=0;;0
CENTRO MOTORS;;Carrera 40 #26-50;Tuluá;Valle del Cauca;;Colombia;4,0827228;-76,1864529;(032) 233 9713;;;http://jac.centromotors.com.co;;JAC;Concesionarios;151;;;mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=08:00 AM - 01:00 PM|sun=0;;0
CENTRO MOTORS;;Calle 26 #39-60;Tuluá;Valle del Cauca;;Colombia;4,0832017;-76,1868433;(032) 233 9713;;;http://jac.centromotors.com.co;;JAC;Talleres;151;;;mon=07:30 AM - 06:00 PM|tue=07:30 AM - 06:00 PM|wed=07:30 AM - 06:00 PM|thu=07:30 AM - 06:00 PM|fri=07:30 AM - 06:00 PM|sat=08:00 AM - 12:00 PM|sun=0;;0
CASAUTOS S.A.;;Av. 30 De Agosto #105-90;Pereira;Risaralda;;Colombia;4,8137671;-75,7641805;(036) 320 5500;;;;;JAC;Concesionarios|Talleres;151;;;mon=07:30 AM - 06:00 PM|tue=07:30 AM - 06:00 PM|wed=07:30 AM - 06:00 PM|thu=07:30 AM - 06:00 PM|fri=07:30 AM - 06:00 PM|sat=08:00 AM - 01:00 PM|sun=0;;0
MOTORKIA S.A.S.;;Av. Los Estudiantes #35-22;Pasto;Nariño;;Colombia;1,2259161;-77,2819221;(032) 720 87 39 / (032) 720 87 35;;;;;JAC;Concesionarios;151;;;mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=09:00 AM - 05:00 PM|sun=0;;0
MOTORKIA S.A.S.;;Carrera 40A #17A-10;Pasto;Nariño;;Colombia;1,2247905;-77,2866948;(032) 731 7497;;;;0;JAC;Talleres;151;;;mon=07:30 AM - 06:00 PM|tue=07:30 AM - 06:00 PM|wed=07:30 AM - 06:00 PM|thu=07:30 AM - 06:00 PM|fri=07:30 AM - 06:00 PM|sat=08:30 AM - 05:00 PM|sun=0;;0
